"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_name","track_number","album_name","key_name","mode_name","key_mode"
"John Williams","2002-04-23",2002,0.225,0.306,2,-16.153,0,0.0398,0.584,0.859,0.106,0.0537,92.732,510186,"Love Pledge and the Arena",12,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2002-04-23",2002,0.11,0.173,2,-17.673,0,0.0372,0.773,0.924,0.16,0.0518,86.427,645493,"Confrontation with Count Dooku and Finale",13,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","1999-05-04",1999,0.127,0.369,5,-13.852,1,0.0392,0.524,0.905,0.165,0.192,79.541,175773,"Star Wars Main Title and the Arrival at Naboo",1,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","1999-05-04",1999,0.471,0.411,2,-15.755,1,0.041,0.733,0.853,0.28,0.282,79.986,254346,"Duel of the Fates",2,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","D","major","D major"
"John Williams","1999-05-04",1999,0.186,0.111,5,-22.164,1,0.0505,0.443,0.908,0.24,0.0339,74.003,187586,"Anakin's Theme",3,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","1999-05-04",1999,0.198,0.052,0,-25.782,1,0.0334,0.93,0.917,0.088,0.0394,91.315,305880,"Jar Jar's Introduction and the Swim to Otoh Gunga",4,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","1999-05-04",1999,0.313,0.621,0,-14.685,1,0.12,0.49,0.914,0.166,0.256,114.04,156360,"The Sith Spacecraft and the Droid Battle",5,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","1999-05-04",1999,0.224,0.0481,0,-27.208,0,0.0319,0.916,0.864,0.142,0.0453,84.995,249573,"The Trip to the Naboo Temple and the Audience with Boss Nass",6,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","C","minor","C minor"
"John Williams","1999-05-04",1999,0.277,0.316,0,-16.298,1,0.0432,0.787,0.617,0.137,0.0798,92.783,243053,"The Arrival at Tatooine and the Flag Parade",7,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","1999-05-04",1999,0.0622,0.034,5,-24.722,1,0.0414,0.941,0.923,0.152,0.0356,68.173,234640,"He Is the Chosen One",8,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","1999-05-04",1999,0.217,0.43,4,-14.087,0,0.0505,0.709,0.704,0.283,0.0962,62.946,262680,"Anakin Defeats Sebulba",9,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","1999-05-04",1999,0.0885,0.0593,0,-21.209,1,0.05,0.777,0.865,0.0447,0.0374,77.344,277373,"Passage Through the Planet Core",10,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","1999-05-04",1999,0.182,0.0294,0,-28.048,1,0.0351,0.908,0.904,0.0989,0.0374,102.378,296200,"Watto's Deal and Kids at Play",11,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","1999-05-04",1999,0.366,0.481,5,-13.485,1,0.128,0.594,0.695,0.306,0.177,115.054,202346,"Panaka and the Queen's Protectors",12,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","1999-05-04",1999,0.17,0.0413,2,-22.738,0,0.0384,0.798,0.888,0.0924,0.034,113.977,290306,"Queen Amidala and the Naboo Palace",13,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","1999-05-04",1999,0.274,0.242,8,-17.854,1,0.0461,0.781,0.874,0.0999,0.0393,87.098,311293,"The Droid Invasion and the Appearance of Darth Maul",14,"Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)","G#","major","G# major"
